claim_id,bangla_claim,gold_evidence_ids,bge_hit@10,labse_hit@10,bge_top10,labse_top10
C0104,"আমি শুনেছি, রাসূলুল্লাহ (সা.) বলেছেন যে, তিনি চান অন্যের কাছ থেকে কোরআন শুনতে। তাই আমি সূরা নিসা পড়তে শুরু করলাম, এবং তিনি আমার পড়া শুনে চোখের জল ফেললেন।","['muslim_1867', 'muslim_1869', 'bukhari_5055', 'bukhari_4582', 'bukhari_5049']",True,False,"['bukhari_5056', 'bukhari_5038', 'bukhari_4582', 'bukhari_2655', 'bukhari_5049', 'bukhari_4937', 'bukhari_6335', 'bukhari_5037', 'bukhari_5042', 'muslim_1837']","['bukhari_6936', 'bukhari_5056', 'bukhari_4992', 'muslim_4016', 'bukhari_5041', 'muslim_3811', 'bukhari_7550', 'muslim_5188', 'bukhari_709', 'muslim_3818']"
C0108,"আল্লাহ আমাদের কাজের কোনো কিছুই বৃথা যেতে দেবেন না। তিনি বলেছেন, ""তুমি কি সেখানে যাওয়ার দিন তা পাবে?"" আমি বললাম, ""হ্যাঁ।""","['muslim_4833', 'muslim_4832', 'bukhari_2633', 'bukhari_6165', 'bukhari_3923']",False,True,"['bukhari_7463', 'bukhari_7516', 'bukhari_4613', 'bukhari_6539', 'bukhari_2897', 'bukhari_4760', 'muslim_958', 'bukhari_3640', 'bukhari_7483', 'bukhari_418']","['muslim_6835', 'bukhari_2590', 'muslim_4833', 'bukhari_6706', 'bukhari_2678', 'bukhari_5075', 'bukhari_1984', 'bukhari_1719', 'muslim_2741', 'bukhari_7206']"
C0112,"নবী (সা.) বলেছেন, যখন আল্লাহর এই আয়াত নাজিল হলো, তখন মানুষের মনে কিছু প্রবেশ করলো যা আগে কখনো প্রবেশ করেনি। তিনি নির্দেশ দিলেন, ""বলুন, আমরা শুনেছি এবং মেনে নিয়েছি,"" এবং আল্লাহ তাদের অন্তরে ঈমান স্থাপন করলেন। আল্লাহ আমাদের ভুল বা ভুলে যাওয়ার জন্য দায়ী করবেন না, এবং আমাদের ওপর অতিরিক্ত বোঝা চাপাবেন না, যেমন পূর্ববর্তী জাতির ওপর চাপিয়েছিলেন।","['muslim_330', 'muslim_329', 'muslim_5315', 'muslim_6016', 'muslim_7496']",False,True,"['bukhari_5039', 'bukhari_2528', 'bukhari_5032', 'bukhari_6125', 'bukhari_2493', 'bukhari_7301', 'bukhari_3476', 'bukhari_5223', 'bukhari_7346', 'bukhari_7276']","['muslim_126', 'muslim_330', 'bukhari_4331', 'bukhari_4779', 'bukhari_1374', 'muslim_7133', 'bukhari_5655', 'bukhari_4650', 'bukhari_6151', 'bukhari_7347']"
C0120,"রাসূলুল্লাহ (সা.) বলেছেন যে, মুসলমানের মতো একটি গাছের কথা বলুন, যার পাতা কখনো ঝরে না। আমি মনে করি, এটি খেজুর গাছ হতে পারে। আবু বকর ও عمر (রা.) তখন চুপ ছিলেন, তাই আমি কিছু বলতে সাহস পাইনি। عمر (রা.) পরে বললেন, তুমি যদি এটি বলতে, তাহলে আমার কাছে এটি আরও প্রিয় হত।","['muslim_7102', 'bukhari_4698', 'bukhari_6144', 'muslim_7098', 'bukhari_131']",False,True,"['bukhari_62', 'bukhari_61', 'bukhari_7466', 'bukhari_5644', 'bukhari_72', 'muslim_2585', 'bukhari_5448', 'bukhari_2074', 'bukhari_2320', 'bukhari_5444']","['bukhari_4698', 'bukhari_6122', 'bukhari_131', 'bukhari_6144', 'bukhari_72', 'bukhari_61', 'bukhari_62', 'bukhari_5444', 'bukhari_4538', 'bukhari_2209']"
C0130,"সুলাইমান বলেছেন, তিনি একটি পানির পাত্র থেকে অল্প পানি নিয়ে ভালোভাবে ওযু করেছেন এবং পানি নষ্ট করেননি। এরপর তিনি আমাকে ডাকলেন এবং আমি উঠলাম।","['muslim_1790', 'muslim_7374', 'muslim_596', 'muslim_3767', 'muslim_3328']",False,True,"['muslim_243', 'bukhari_5956', 'bukhari_200', 'bukhari_7475', 'bukhari_6433', 'muslim_337', 'bukhari_6383', 'bukhari_501', 'muslim_767', 'bukhari_640']","['muslim_6681', 'bukhari_239', 'muslim_1790', 'bukhari_7391', 'bukhari_230', 'muslim_5326', 'bukhari_5051', 'bukhari_164', 'bukhari_3378', 'bukhari_179']"
C0150,নবী মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের জুতোতে দুটি মুখ ছিল।,"['muslim_944', 'muslim_5312', 'bukhari_5857', 'muslim_6224', 'muslim_3508']",True,False,"['bukhari_5858', 'bukhari_5857', 'bukhari_1264', 'bukhari_5910', 'bukhari_3107', 'bukhari_1271', 'bukhari_1273', 'bukhari_158', 'bukhari_354', 'bukhari_2147']","['bukhari_397', 'bukhari_1027', 'bukhari_928', 'bukhari_5821', 'bukhari_1264', 'bukhari_2546', 'bukhari_358', 'bukhari_1818', 'bukhari_1171', 'bukhari_5910']"
C0161,"নবী মুহাম্মদ (সা.) আবু তালহাকে বলেছিলেন যে, তাকে একজন যুবক খিদমতকারী খুঁজে দিতে। এরপর আবু তালহা তাকে নিয়ে খাইবারে গিয়েছিলেন, যেখানে নবী (সা.) صفিয়া নামের এক মহিলাকে বেছে নেন এবং তার সাথে বিয়ে করেন। নবী (সা.) শহরে ফিরে আসার সময় صفিয়াকে তার পেছনে বোরকার মধ্যে নিয়ে বসিয়ে রাখেন।","['bukhari_2893', 'bukhari_2235', 'muslim_3321', 'bukhari_4211', 'bukhari_5425']",False,True,"['bukhari_4212', 'bukhari_5169', 'bukhari_4201', 'bukhari_2423', 'bukhari_5170', 'bukhari_5114', 'bukhari_2228', 'bukhari_469', 'bukhari_3876', 'bukhari_6950']","['bukhari_4211', 'bukhari_2235', 'bukhari_1536', 'bukhari_2396', 'bukhari_7220', 'bukhari_88', 'bukhari_6036', 'bukhari_7254', 'bukhari_4000', 'bukhari_2640']"
C0186,"নবী মুহাম্মদ (সা.) এর স্ত্রীগণ রাতে বাইরে বের হতেন যখন তারা প্রয়োজনীয়তা মেটাতেন। عمر (রা.) নবীকে বলেছিলেন তাদের হিজাব পরার জন্য, কিন্তু নবী তা করেননি। পরে, সউদা বিনতে জামআ (রা.) এক রাতে বের হলে عمر (রা.) তাকে চিনে ফেলেন, এরপর আল্লাহ হিজাবের আয়াত নাজিল করেন।","['muslim_5671', 'bukhari_146', 'bukhari_6240', 'muslim_3629', 'muslim_6202']",False,True,"['bukhari_4983', 'bukhari_5194', 'bukhari_4790', 'bukhari_1431', 'bukhari_98', 'bukhari_1801', 'bukhari_2688', 'bukhari_4950', 'bukhari_5840', 'muslim_2397']","['bukhari_866', 'bukhari_865', 'bukhari_146', 'bukhari_6240', 'bukhari_641', 'bukhari_2593', 'bukhari_5258', 'bukhari_2043', 'bukhari_2688', 'bukhari_1676']"
C0188,"নবী মুহাম্মদ (সা.) বলেছেন, ""আমাদের সাথে শপথ করো।""","['bukhari_3999', 'muslim_3743', 'muslim_4669', 'muslim_944', 'muslim_4234']",True,False,"['bukhari_5033', 'bukhari_6022', 'bukhari_7173', 'bukhari_6616', 'bukhari_3999', 'bukhari_2446', 'bukhari_57', 'bukhari_6654', 'bukhari_6675', 'bukhari_7071']","['bukhari_5071', 'bukhari_7070', 'bukhari_2679', 'bukhari_6874', 'bukhari_845', 'bukhari_7071', 'bukhari_941', 'bukhari_838', 'bukhari_877', 'bukhari_1570']"
C0214,"নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন, যে ব্যক্তি অন্যদের উপর কর্তৃত্ব প্রতিষ্ঠা করে তাদের অনুমতি ছাড়া, তার উপর আল্লাহ, ফেরেশতা এবং সমস্ত মানুষের অভিশাপ। কিয়ামতের দিন তার কোন ন্যায় বা দান গ্রহণ করা হবে না।","['muslim_3793', 'muslim_3792', 'muslim_3791', 'muslim_3794', 'muslim_3327']",False,True,"['bukhari_6013', 'bukhari_7376', 'bukhari_6625', 'muslim_1010', 'bukhari_6954', 'bukhari_2474', 'muslim_1614', 'bukhari_2672', 'bukhari_6046', 'bukhari_5193']","['bukhari_6328', 'bukhari_2995', 'muslim_3792', 'bukhari_1797', 'bukhari_4116', 'bukhari_831', 'bukhari_1870', 'bukhari_835', 'bukhari_3293', 'muslim_897']"
C0215,"আমি শুনেছি যে, রাসূলুল্লাহ (সা.) একটি বিশেষ কাপড়ে নামাজ পড়ছিলেন এবং নামাজের সময় কাপড়ের নকশা তাকে বিভ্রান্ত করেছিল। তাই তিনি সেই কাপড়টি আবু জাহমের কাছে পাঠাতে বলেছিলেন।","['bukhari_5817', 'muslim_1239', 'bukhari_373', 'muslim_1238', 'bukhari_752']",True,False,"['bukhari_354', 'bukhari_358', 'bukhari_231', 'bukhari_360', 'bukhari_353', 'bukhari_356', 'muslim_1156', 'bukhari_1130', 'bukhari_5817', 'bukhari_355']","['bukhari_2419', 'bukhari_179', 'bukhari_292', 'bukhari_522', 'bukhari_521', 'bukhari_361', 'bukhari_1789', 'bukhari_2619', 'bukhari_4177', 'bukhari_1223']"
C0216,"আম হরম, আনসের খালা, বলেছেন যে একদিন নবী (সা.) আমাদের কাছে এসেছিলেন এবং হাসছিলেন। তিনি বললেন, আমি আমার উম্মতের কিছু লোককে দেখেছি যারা সমুদ্রের ওপর রাজাদের মতো সওয়ার হচ্ছে। আমি তার কাছে প্রার্থনা করেছিলাম যেন আমাকে তাদের মধ্যে অন্তর্ভুক্ত করেন, এবং তিনি বলেছিলেন, তুমি তাদের মধ্যে। পরে, তিনি আবার হাসতে হাসতে জেগে উঠলেন এবং একই কথা বললেন।","['muslim_4935', 'muslim_4934', 'bukhari_2894', 'bukhari_2895', 'bukhari_7001']",False,True,"['bukhari_7008', 'bukhari_7475', 'bukhari_6096', 'bukhari_5789', 'bukhari_7009', 'muslim_600', 'bukhari_5616', 'bukhari_3599', 'bukhari_3354', 'bukhari_3691']","['bukhari_2895', 'bukhari_2894', 'bukhari_2878', 'bukhari_2877', 'bukhari_2800', 'bukhari_2799', 'bukhari_4331', 'muslim_7007', 'bukhari_6606', 'bukhari_2924']"
C0218,"একজন কালো মহিলা এসে দাবি করেছেন যে, তিনি নবীকে দুধ পান করিয়েছেন। নবী এই কথা শুনে মুখ ফিরিয়ে নিয়ে হাসলেন।","['bukhari_2052', 'bukhari_5104', 'bukhari_2659', 'muslim_6290', 'bukhari_2640']",False,True,"['bukhari_5609', 'bukhari_211', 'bukhari_5606', 'bukhari_2351', 'bukhari_5604', 'bukhari_2366', 'bukhari_7007', 'bukhari_5636', 'bukhari_188', 'bukhari_7032']","['bukhari_5504', 'muslim_795', 'bukhari_5615', 'muslim_3255', 'bukhari_7220', 'bukhari_2571', 'bukhari_2659', 'bukhari_5612', 'bukhari_2052', 'bukhari_4887']"
C0224,"রাসূলুল্লাহ (সা.) বলেছেন, একজন মানুষের গঠন তার মায়ের পেটে প্রথম ৪০ দিন ঘটে, এরপর ৪০ দিন আলাকাহ এবং তারপর ৪০ দিন মাংসের টুকরা হিসেবে থাকে। এরপর আল্লাহ একজন ফেরেশতাকে পাঠান, যাকে চারটি বিষয় লিখতে বলা হয়: তার কাজ, রিজিক, আয়ু এবং সে সুখী হবে নাকি দুঃখী। তারপর তাতে রুহ ফুঁক দেওয়া হয়।","['muslim_6723', 'bukhari_3208', 'bukhari_3332', 'bukhari_6594', 'bukhari_7454']",False,True,"['muslim_2644', 'bukhari_3333', 'muslim_2646', 'bukhari_318', 'bukhari_4814', 'bukhari_6595', 'bukhari_4955', 'bukhari_3326', 'muslim_2872', 'bukhari_3870']","['bukhari_3208', 'bukhari_3333', 'bukhari_6595', 'bukhari_318', 'bukhari_3332', 'bukhari_1817', 'bukhari_7454', 'bukhari_4775', 'bukhari_6594', 'bukhari_4777']"
C0225,"একজন মহিলা বলেছেন, তাদের মধ্যে কেউ যদি এমন অবস্থায় থাকে যেখানে তারা রক্তপাতের সম্মুখীন হয়, তবে তারা তার উপর নিজের ল saliva ব্যবহার করতে পারে।","['bukhari_312', 'muslim_480', 'muslim_675', 'muslim_731', 'muslim_752']",True,False,"['bukhari_307', 'bukhari_5706', 'bukhari_227', 'bukhari_312', 'bukhari_308', 'muslim_300', 'bukhari_2037', 'bukhari_310', 'bukhari_314', 'muslim_2174']","['bukhari_307', 'bukhari_239', 'bukhari_227', 'bukhari_5724', 'bukhari_309', 'bukhari_162', 'bukhari_3320', 'muslim_312', 'bukhari_6388', 'bukhari_5165']"
C0231,"আমি শুনেছি যে, আবদুল্লাহ বিন সালামকে জানানো হয়েছিল যে তিনি জান্নাতের লোকদের মধ্যে একজন। তিনি এর বিরুদ্ধে বলেছিলেন যে, তাদের উচিত নয় এমন কথা বলা যা তাদের জানা নেই। তিনি একটি স্বপ্নের কথা উল্লেখ করেন যেখানে তিনি একটি সবুজ বাগানে একটি স্তম্ভ দেখেন এবং রাসূলুল্লাহ (সা.) তাকে বলেন যে, আবদুল্লাহ বিন সালাম দৃঢ়ভাবে সত্যের সাথে থাকবে।","['muslim_6382', 'bukhari_7010', 'muslim_6381', 'bukhari_3813', 'bukhari_7014']",False,True,"['muslim_2825', 'bukhari_5982', 'bukhari_6555', 'muslim_2478', 'bukhari_1195', 'bukhari_6983', 'bukhari_3812', 'bukhari_6214', 'bukhari_7345', 'muslim_2840']","['bukhari_7010', 'bukhari_3812', 'bukhari_3057', 'bukhari_3056', 'bukhari_3033', 'bukhari_483', 'muslim_3944', 'muslim_3297', 'bukhari_6498', 'bukhari_1535']"
C0267,"আমি শুনেছি যে, একজন ব্যক্তি বলেছেন যে তিনি স্বপ্নে দেখেছেন যে একজন তাকে বলছেন, ""হজ মাবরুর এবং উমরা মাকবুল।"" এরপর তিনি ইবন আব্বাসের কাছে গিয়ে এই স্বপ্নের কথা বললে, তিনি বলেছেন যে এটি নবীর سنت।","['bukhari_1567', 'muslim_3015', 'bukhari_1688', 'muslim_3692', 'muslim_4568']",False,True,"['bukhari_7033', 'bukhari_7008', 'bukhari_7019', 'bukhari_3354', 'bukhari_7020', 'muslim_2272', 'bukhari_3691', 'bukhari_7128', 'muslim_2390', 'bukhari_23']","['muslim_888', 'bukhari_1567', 'bukhari_1688', 'muslim_5459', 'bukhari_4871', 'muslim_6139', 'muslim_5742', 'muslim_3509', 'muslim_7470', 'muslim_3348']"
C0291,"আবু তালহা তাঁর প্রিয় সম্পদ, যা ছিল একটি পানির কূপ, আল্লাহর রাস্তায় দান করেছেন। তিনি নবীকে বলেছিলেন যে, তিনি এই কূপকে দান করতে চান এবং নবী তাকে পরামর্শ দিয়েছিলেন যে, এটি তার আত্মীয়দের মধ্যে বিতরণ করতে।","['bukhari_2318', 'muslim_2315', 'bukhari_1461', 'bukhari_4554', 'bukhari_2769']",False,True,"['bukhari_188', 'bukhari_2590', 'bukhari_55', 'bukhari_2757', 'bukhari_4006', 'bukhari_5351', 'bukhari_6998', 'bukhari_7164', 'bukhari_1498', 'bukhari_196']","['bukhari_1634', 'bukhari_1461', 'bukhari_2769', 'bukhari_1493', 'bukhari_5611', 'bukhari_6132', 'bukhari_4554', 'bukhari_2578', 'bukhari_2758', 'bukhari_3002']"
C0300,"নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম হিজামা করলেন এবং যাকে হিজামা করালেন তাকে উপহার দিলেন। যদি এটি হারাম হতো, তবে তিনি তাকে উপহার দিতেন না।","['bukhari_2103', 'bukhari_2279', 'muslim_4042', 'muslim_5749', 'muslim_4041']",True,False,"['bukhari_2625', 'bukhari_2576', 'bukhari_2585', 'bukhari_3117', 'bukhari_1704', 'bukhari_1436', 'bukhari_2279', 'bukhari_6470', 'bukhari_2393', 'bukhari_2573']","['bukhari_2619', 'bukhari_375', 'bukhari_5865', 'bukhari_4672', 'bukhari_5981', 'bukhari_3054', 'bukhari_5821', 'bukhari_5876', 'bukhari_5841', 'bukhari_948']"
C0305,"আমি শুনেছি, আবদুল্লাহ বিন জাইদ বলেছেন যে, রাসূলুল্লাহ (সা.) যখন ওযু করতেন, তখন তিনি প্রথমে হাত ধোতেন, তারপর মুখ, এবং তারপর মাথা ও পা ধোতেন।","['bukhari_185', 'muslim_557', 'muslim_555', 'bukhari_186', 'muslim_538']",False,True,"['bukhari_248', 'bukhari_273', 'bukhari_272', 'bukhari_197', 'bukhari_257', 'bukhari_5017', 'bukhari_191', 'bukhari_262', 'muslim_304', 'bukhari_182']","['bukhari_736', 'bukhari_191', 'bukhari_179', 'bukhari_185', 'bukhari_292', 'bukhari_957', 'bukhari_293', 'bukhari_919', 'bukhari_199', 'bukhari_738']"
C0308,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) এর মতো ওযু করার পদ্ধতি আমাদের শেখানো হয়েছে। তিনি হাত, মুখ, এবং পা তিনবার ধোয়ার পর মাথায় মুছে দিয়েছিলেন।","['muslim_555', 'bukhari_186', 'bukhari_192', 'bukhari_191', 'bukhari_199']",False,True,"['bukhari_248', 'bukhari_197', 'bukhari_5017', 'bukhari_273', 'bukhari_272', 'bukhari_257', 'bukhari_254', 'bukhari_158', 'bukhari_157', 'bukhari_255']","['bukhari_248', 'bukhari_197', 'bukhari_191', 'bukhari_185', 'bukhari_265', 'bukhari_199', 'bukhari_96', 'bukhari_1604', 'bukhari_186', 'bukhari_273']"
C0311,দুইজন ব্যক্তি নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের কাছে বিবাদে জড়িয়ে পড়েছিল।,"['bukhari_7258', 'bukhari_7259', 'muslim_1849', 'muslim_1845', 'muslim_6776']",True,False,"['bukhari_6048', 'bukhari_7259', 'bukhari_7258', 'bukhari_7185', 'muslim_1557', 'bukhari_3966', 'bukhari_4914', 'bukhari_5553', 'bukhari_6336', 'bukhari_7399']","['bukhari_3966', 'bukhari_4744', 'bukhari_3967', 'bukhari_928', 'bukhari_4914', 'muslim_2666', 'bukhari_3969', 'bukhari_2810', 'bukhari_6225', 'bukhari_6115']"
C0317,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন, প্লেগ একটি মুসলিমের জন্য শহীদ হওয়ার মর্যাদা।","['bukhari_5732', 'muslim_4944', 'bukhari_2830', 'muslim_4941', 'muslim_3350']",True,False,"['bukhari_2830', 'bukhari_5733', 'bukhari_5732', 'bukhari_2829', 'bukhari_4006', 'bukhari_415', 'bukhari_48', 'bukhari_6625', 'bukhari_7076', 'bukhari_55']","['bukhari_1504', 'bukhari_6752', 'bukhari_2005', 'bukhari_2000', 'bukhari_4468', 'bukhari_2546', 'bukhari_895', 'bukhari_2457', 'muslim_6616', 'bukhari_2142']"
C0320,"নবী মুহাম্মদ (সা.) বলেছেন, যে কেউ তার দান ফিরিয়ে নেয়, সে যেন তার বমি ফিরিয়ে নিচ্ছে। শুধু একজন পিতামাতা তাদের সন্তানদের ক্ষেত্রে দান ফিরিয়ে নিতে পারে।","['muslim_4174', 'bukhari_2621', 'muslim_4176', 'bukhari_2622', 'bukhari_2589']",True,False,"['bukhari_2589', 'bukhari_6975', 'bukhari_2398', 'bukhari_2621', 'bukhari_2319', 'bukhari_6732', 'bukhari_5351', 'bukhari_2387', 'bukhari_1445', 'bukhari_6763']","['bukhari_6625', 'bukhari_2435', 'bukhari_2517', 'bukhari_5973', 'bukhari_6436', 'bukhari_2139', 'bukhari_5371', 'bukhari_552', 'bukhari_2298', 'muslim_4326']"
