claim_id,bangla_claim,gold_evidence_ids,translation_hit@10,bge_hit@10,translation_top10,bge_top10
C0073,"একজন ব্যক্তি রাসূলুল্লাহ (সা.)-এর কাছে এসে বললেন, তিনি খুব ক্লান্ত। রাসূল (সা.) তাঁর স্ত্রীদের কাছে খাবারের জন্য পাঠালেন, কিন্তু সবাই বললেন, তাদের কাছে শুধু পানি আছে। তখন একজন আনসারী বললেন, তিনি অতিথিকে রাতের খাবার দেবেন এবং তাঁর স্ত্রীকে বললেন, শিশুদের খাবার দিয়ে অতিথিকে দেখাতে হবে যেন মনে হয় তারা খাচ্ছে। পরদিন রাসূল (সা.) বললেন, আল্লাহ তাদের এই অতিথিপরায়ণতা দেখে বিস্মিত হয়েছেন।","['muslim_5359', 'bukhari_4889', 'muslim_5362', 'muslim_885', 'muslim_4622']",True,False,"['bukhari_6019', 'bukhari_3798', 'bukhari_602', 'bukhari_6135', 'bukhari_4889', 'bukhari_5390', 'bukhari_4101', 'bukhari_2461', 'bukhari_6141', 'bukhari_3581']","['bukhari_6080', 'bukhari_670', 'bukhari_1179', 'muslim_2569', 'muslim_1727', 'bukhari_380', 'bukhari_2456', 'bukhari_5616', 'bukhari_2081', 'bukhari_860']"
C0082,"হযরত হুযাইফা (রা) বলেছেন, রাসূলুল্লাহ (সা) বলেছেন যে, আসরের নামাজের পর সূর্যাস্ত হওয়া পর্যন্ত এবং ফজরের নামাজের পর সূর্য উদয়ের আগে নামাজ পড়া নিষেধ।","['muslim_1921', 'muslim_1920', 'muslim_1374', 'bukhari_584', 'bukhari_588']",False,True,"['bukhari_579', 'bukhari_556', 'bukhari_1180', 'bukhari_1181', 'bukhari_547', 'bukhari_4851', 'bukhari_672', 'bukhari_995', 'bukhari_771', 'bukhari_7434']","['muslim_825', 'bukhari_1629', 'bukhari_588', 'bukhari_581', 'bukhari_3272', 'bukhari_3273', 'bukhari_586', 'bukhari_582', 'bukhari_583', 'bukhari_556']"
C0086,"আমি শুনেছি, নবী মুহাম্মদ (সা.) একটি চামড়ার তাঁবুর মধ্যে ছিলেন এবং সেখানে কিছু কথা বলেছিলেন।","['muslim_2301', 'muslim_2025', 'muslim_4742', 'muslim_1119', 'bukhari_5860']",False,True,"['muslim_2474', 'muslim_2478', 'muslim_868', 'bukhari_2616', 'bukhari_2615', 'muslim_1901', 'muslim_295', 'bukhari_731', 'muslim_2491', 'bukhari_2294']","['bukhari_5860', 'bukhari_1841', 'bukhari_204', 'bukhari_5839', 'bukhari_3802', 'bukhari_429', 'bukhari_6214', 'bukhari_2865', 'bukhari_405', 'bukhari_2921']"
C0090,"নবী (সা.) বলেছেন, যে মুসলিম একটি গাছ রোপণ করে এবং তার ফলে কেউ বা কোনো প্রাণী কিছু খায়, সেই মুসলিমের জন্য এটি একটি সদকা।","['bukhari_6012', 'muslim_3969', 'muslim_3971', 'muslim_3973', 'muslim_3968']",False,True,"['bukhari_6427', 'muslim_2050', 'bukhari_2173', 'bukhari_2172', 'bukhari_2320', 'bukhari_6441', 'bukhari_1465', 'bukhari_2148', 'bukhari_393', 'bukhari_1472']","['bukhari_6012', 'bukhari_2320', 'bukhari_2707', 'bukhari_2206', 'bukhari_5448', 'bukhari_6022', 'bukhari_5351', 'bukhari_7466', 'bukhari_2329', 'bukhari_2989']"
C0092,"আমি শুনেছি, রাসূলুল্লাহ (সা.) বলেছেন যে, এক ব্যক্তি যিনি ইসলাম দাবি করেন, তিনি জাহান্নামের লোক। যুদ্ধের সময় সেই ব্যক্তি অত্যন্ত সাহসিকতার সাথে লড়াই করেন এবং গুরুতর আহত হন। কিন্তু পরে তিনি আত্মহত্যা করেন, এবং রাসূল (সা.) বলেন, ""আল্লাহ এই ধর্মকে মন্দ লোকের মাধ্যমে সাহায্য করেন।""","['bukhari_6606', 'muslim_305', 'bukhari_4203', 'muslim_306', 'bukhari_3062']",True,False,"['bukhari_3062', 'bukhari_4203', 'bukhari_6606', 'muslim_111', 'muslim_112', 'bukhari_4202', 'bukhari_6607', 'bukhari_6493', 'bukhari_4026', 'bukhari_1364']","['bukhari_1365', 'bukhari_6652', 'bukhari_123', 'bukhari_2808', 'bukhari_2829', 'bukhari_5733', 'bukhari_2803', 'bukhari_3126', 'muslim_7253', 'bukhari_2787']"
C0094,"আমি শুনেছি যে, আল-আমাশ বলেছেন, সেই দিন মানুষদের মধ্যে তোমরা যেমন একটি সাদা চুল কালো ষাঁড়ের মধ্যে বা একটি কালো চুল সাদা ষাঁড়ের মধ্যে থাকে, তেমনই থাকবে।","['muslim_533', 'muslim_530', 'muslim_531', 'bukhari_6528', 'bukhari_4741']",True,False,"['bukhari_4741', 'bukhari_6528', 'bukhari_3348', 'bukhari_6529', 'bukhari_1916', 'bukhari_3919', 'bukhari_5935', 'bukhari_3544', 'muslim_2790', 'bukhari_5941']","['bukhari_3592', 'bukhari_6521', 'muslim_2790', 'muslim_2081', 'muslim_805', 'bukhari_170', 'bukhari_4938', 'bukhari_2927', 'bukhari_237', 'bukhari_4509']"
C0095,"রাসূলুল্লাহ (সা.) বলেছেন, যখন হাওয়াজনের মুসলিম প্রতিনিধিদল তাঁর কাছে আসে, তখন তিনি তাদের বলেছিলেন যে, তারা যদি তাদের সম্পদ বা বন্দীদের মধ্যে থেকে একটি বেছে নিতে চায়। পরে, তিনি মুসলমানদের সামনে দাঁড়িয়ে বলেন যে, যারা তাদের বন্দীদের ফিরিয়ে দিতে চান, তারা যেন তা করেন। মুসলমানরা তখন বললেন, ""আমরা তা মেনে নিচ্ছি, হে রাসূলullah!""","['bukhari_2307', 'bukhari_2308', 'bukhari_4318', 'bukhari_4319', 'bukhari_3131']",True,False,"['bukhari_2607', 'bukhari_2608', 'bukhari_3132', 'bukhari_3131', 'bukhari_2308', 'bukhari_2307', 'bukhari_4318', 'bukhari_4319', 'bukhari_5286', 'bukhari_2733']","['bukhari_7173', 'bukhari_2306', 'bukhari_4392', 'bukhari_3116', 'bukhari_5174', 'bukhari_7346', 'muslim_1765', 'bukhari_2674', 'bukhari_6397', 'muslim_1475']"
C0109,"আমি শুনেছি যে, রাসূলুল্লাহ (সা.)-এর সাথে আমরা হিজরত করেছি।","['bukhari_3913', 'bukhari_6432', 'muslim_2177', 'muslim_3743', 'muslim_5034']",False,True,"['muslim_641', 'muslim_1765', 'bukhari_1719', 'muslim_2491', 'muslim_1489', 'muslim_449', 'bukhari_813', 'bukhari_2861', 'bukhari_3916', 'muslim_1806']","['bukhari_5811', 'bukhari_2714', 'bukhari_1', 'bukhari_4132', 'bukhari_1540', 'muslim_991', 'bukhari_3913', 'muslim_1378', 'muslim_6522', 'bukhari_6895.2']"
C0119,"রাসূলুল্লাহ (সা.) বলেছেন, তিনি আমাদেরকে সতর্ক করেছেন যে, দুনিয়ার সৌন্দর্য এবং ধন-সম্পদ আমাদের জন্য বিপদ ডেকে আনতে পারে। তিনি উল্লেখ করেছেন যে, যারা অন্যায়ভাবে সম্পদ গ্রহণ করে, তারা যেন মনে না করে যে, তা তাদের জন্য কল্যাণ বয়ে আনবে; বরং তাদের জন্য তা কষ্টের কারণ হবে।","['muslim_2423', 'muslim_2422', 'bukhari_1465', 'muslim_2421', 'bukhari_2842']",True,False,"['bukhari_6427', 'bukhari_2842', 'bukhari_4015', 'bukhari_4565', 'bukhari_114', 'muslim_1765', 'bukhari_1465', 'bukhari_4113', 'muslim_187', 'muslim_1763']","['muslim_1051', 'bukhari_6616', 'bukhari_5985', 'bukhari_6446', 'bukhari_2387', 'bukhari_3118', 'muslim_1036', 'bukhari_2766', 'bukhari_6857', 'bukhari_1403']"
C0120,"রাসূলুল্লাহ (সা.) বলেছেন যে, মুসলমানের মতো একটি গাছের কথা বলুন, যার পাতা কখনো ঝরে না। আমি মনে করি, এটি খেজুর গাছ হতে পারে। আবু বকর ও عمر (রা.) তখন চুপ ছিলেন, তাই আমি কিছু বলতে সাহস পাইনি। عمر (রা.) পরে বললেন, তুমি যদি এটি বলতে, তাহলে আমার কাছে এটি আরও প্রিয় হত।","['muslim_7102', 'bukhari_4698', 'bukhari_6144', 'muslim_7098', 'bukhari_131']",True,False,"['bukhari_4698', 'bukhari_6144', 'bukhari_131', 'bukhari_6122', 'bukhari_62', 'bukhari_61', 'bukhari_5444', 'muslim_187', 'bukhari_72', 'bukhari_7191']","['bukhari_62', 'bukhari_61', 'bukhari_7466', 'bukhari_5644', 'bukhari_72', 'muslim_2585', 'bukhari_5448', 'bukhari_2074', 'bukhari_2320', 'bukhari_5444']"
C0126,"নবী (সা.) বলেছেন, আল্লাহ কুরআনকে তিনটি অংশে ভাগ করেছেন এবং 'কুল হুয়াল্লাহু আহাদ' কুরআনের একটি অংশ।","['muslim_1887', 'muslim_1886', 'muslim_1888', 'muslim_1889', 'bukhari_3945']",True,False,"['bukhari_6000', 'bukhari_4705', 'bukhari_3945', 'muslim_671', 'bukhari_6469', 'muslim_449', 'muslim_1300', 'bukhari_2485', 'bukhari_4589', 'bukhari_4868']","['bukhari_6643', 'bukhari_5013', 'bukhari_4704', 'bukhari_627', 'bukhari_624', 'bukhari_4937', 'bukhari_9', 'bukhari_2672', 'bukhari_7417', 'bukhari_6336']"
C0128,"নবীজি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন, ফজরের নামাজের পর সূর্য ওঠা পর্যন্ত এবং আসরের নামাজের পর সূর্য ডুবা পর্যন্ত নামাজ পড়া নিষেধ। তিনি এক কাপড়ে বসে থাকা এবং কিছু বিশেষ ধরনের ব্যবসা করতেও নিষেধ করেছেন।","['bukhari_584', 'muslim_1921', 'bukhari_588', 'bukhari_6284', 'muslim_1374']",False,True,"['bukhari_3272', 'bukhari_3273', 'bukhari_547', 'bukhari_5819', 'bukhari_541', 'bukhari_581', 'bukhari_560', 'muslim_827', 'bukhari_586', 'bukhari_561']","['muslim_825', 'bukhari_1629', 'bukhari_588', 'bukhari_1992', 'bukhari_1991', 'bukhari_5819', 'bukhari_584', 'bukhari_3272', 'bukhari_3273', 'bukhari_581']"
C0136,"আমি শুনেছি যে, আল-আসওয়াদ আল-দাইলি বলেছেন, তিনি উমর বিন খাত্তাবের কাছে গিয়েছিলেন এবং উমর একটি জানাজার সামনে দাঁড়িয়ে মৃত ব্যক্তির জন্য ভালো কথা বলার পর বলেছেন, ""ওটা নিশ্চিত।"" এরপর তিনি আরেকটি জানাজার সামনে দাঁড়িয়ে একইভাবে বলার পর আবারও বলেছেন, ""ওটা নিশ্চিত।"" যখন তিনি তৃতীয় জানাজার সামনে দাঁড়িয়ে খারাপ কথা শুনলেন, তখনও উমর বললেন, ""ওটা নিশ্চিত।"" উমর বলেছেন যে, রাসূলুল্লাহ (সা.) বলেছেন, যে কোনো মুসলিম যদি চারজন মানুষ তার জন্য ভালো কথা বলে, তাহলে আল্লাহ তাকে জান্নাতে প্রবেশ করাবেন।","['bukhari_1368', 'muslim_2200', 'bukhari_2643', 'bukhari_2642', 'bukhari_1367']",False,True,"['bukhari_7262', 'muslim_1779', 'bukhari_6507', 'muslim_1901', 'bukhari_1299', 'muslim_832', 'bukhari_6973', 'muslim_2474', 'bukhari_7418', 'muslim_449']","['bukhari_5982', 'muslim_219', 'bukhari_1367', 'muslim_1631', 'bukhari_2787', 'bukhari_6543', 'bukhari_6554', 'bukhari_7392', 'muslim_187', 'bukhari_1380']"
C0150,নবী মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের জুতোতে দুটি মুখ ছিল।,"['muslim_944', 'muslim_5312', 'bukhari_5857', 'muslim_6224', 'muslim_3508']",False,True,"['muslim_407', 'muslim_405', 'muslim_2545', 'bukhari_3590', 'bukhari_1301', 'bukhari_2928', 'muslim_393', 'muslim_1795', 'bukhari_2691', 'muslim_2407']","['bukhari_5858', 'bukhari_5857', 'bukhari_1264', 'bukhari_5910', 'bukhari_3107', 'bukhari_1271', 'bukhari_1273', 'bukhari_158', 'bukhari_354', 'bukhari_2147']"
C0161,"নবী মুহাম্মদ (সা.) আবু তালহাকে বলেছিলেন যে, তাকে একজন যুবক খিদমতকারী খুঁজে দিতে। এরপর আবু তালহা তাকে নিয়ে খাইবারে গিয়েছিলেন, যেখানে নবী (সা.) صفিয়া নামের এক মহিলাকে বেছে নেন এবং তার সাথে বিয়ে করেন। নবী (সা.) শহরে ফিরে আসার সময় صفিয়াকে তার পেছনে বোরকার মধ্যে নিয়ে বসিয়ে রাখেন।","['bukhari_2893', 'bukhari_2235', 'muslim_3321', 'bukhari_4211', 'bukhari_5425']",True,False,"['bukhari_6185', 'bukhari_2893', 'bukhari_5470', 'bukhari_6363', 'bukhari_4211', 'bukhari_509', 'bukhari_3085', 'bukhari_3086', 'bukhari_2039', 'bukhari_371']","['bukhari_4212', 'bukhari_5169', 'bukhari_4201', 'bukhari_2423', 'bukhari_5170', 'bukhari_5114', 'bukhari_2228', 'bukhari_469', 'bukhari_3876', 'bukhari_6950']"
C0163,"নবী (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেছেন, যদি তুমি শুক্রবারের খুতবার সময় তোমার বন্ধুকে চুপ থাকতে বলো, তাহলে তুমি ব্যর্থ হয়েছ। আবু হুরাইরা (রাঃ) এর ভাষায় এটি বোঝানো হয়েছে।","['muslim_1968', 'muslim_1965', 'bukhari_934', 'muslim_2024', 'muslim_1988']",False,True,"['bukhari_7107', 'bukhari_7105', 'bukhari_7106', 'muslim_172', 'bukhari_3169', 'bukhari_6400', 'muslim_600', 'bukhari_712', 'bukhari_6720', 'muslim_832']","['bukhari_934', 'bukhari_6400', 'bukhari_1985', 'bukhari_6290', 'bukhari_6018', 'muslim_225', 'bukhari_6496', 'bukhari_1219', 'bukhari_6618', 'bukhari_6361']"
C0186,"নবী মুহাম্মদ (সা.) এর স্ত্রীগণ রাতে বাইরে বের হতেন যখন তারা প্রয়োজনীয়তা মেটাতেন। عمر (রা.) নবীকে বলেছিলেন তাদের হিজাব পরার জন্য, কিন্তু নবী তা করেননি। পরে, সউদা বিনতে জামআ (রা.) এক রাতে বের হলে عمر (রা.) তাকে চিনে ফেলেন, এরপর আল্লাহ হিজাবের আয়াত নাজিল করেন।","['muslim_5671', 'bukhari_146', 'bukhari_6240', 'muslim_3629', 'muslim_6202']",True,False,"['bukhari_146', 'bukhari_6240', 'bukhari_2593', 'bukhari_5237', 'bukhari_2688', 'bukhari_6238', 'bukhari_4794', 'bukhari_4792', 'bukhari_1860', 'bukhari_1915']","['bukhari_4983', 'bukhari_5194', 'bukhari_4790', 'bukhari_1431', 'bukhari_98', 'bukhari_1801', 'bukhari_2688', 'bukhari_4950', 'bukhari_5840', 'muslim_2397']"
C0188,"নবী মুহাম্মদ (সা.) বলেছেন, ""আমাদের সাথে শপথ করো।""","['bukhari_3999', 'muslim_3743', 'muslim_4669', 'muslim_944', 'muslim_4234']",False,True,"['bukhari_3836', 'bukhari_7401', 'bukhari_7355', 'bukhari_5044', 'bukhari_6646', 'bukhari_2679', 'bukhari_7391', 'bukhari_5877', 'bukhari_7219', 'muslim_1747']","['bukhari_5033', 'bukhari_6022', 'bukhari_7173', 'bukhari_6616', 'bukhari_3999', 'bukhari_2446', 'bukhari_57', 'bukhari_6654', 'bukhari_6675', 'bukhari_7071']"
C0192,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন যে, তিনি একটি সফরের সময় নির্দেশ দিয়েছিলেন যে, যেকোনো উটের গলায় যদি কোনো দড়ি বা মালা থাকে, তবে তা কেটে ফেলতে হবে।","['muslim_5549', 'bukhari_3005', 'muslim_936', 'muslim_7356', 'muslim_7502']",False,True,"['bukhari_4509', 'muslim_172', 'muslim_1816', 'muslim_290', 'bukhari_885', 'muslim_1729', 'bukhari_5955', 'muslim_168', 'bukhari_1092', 'bukhari_1091']","['bukhari_5429', 'bukhari_6799', 'bukhari_3001', 'bukhari_1804', 'bukhari_3005', 'bukhari_2472', 'bukhari_1621', 'bukhari_3319', 'bukhari_5782', 'bukhari_4410']"
C0196,"রাসূলুল্লাহ (সা.) মিনা'তে দুই রাকাত নামাজ পড়েছিলেন এবং আবু বকর, عمر এবং عثمانও নামাজ পড়েছিলেন। عثمان চার রাকাত নামাজ পড়ার পর, ইবন উমর যখন ইমামের সঙ্গে নামাজ পড়তেন, তখন তিনি চার রাকাত পড়তেন এবং একা পড়লে দুই রাকাত পড়তেন।","['muslim_1592', 'muslim_1590', 'bukhari_1655', 'muslim_1594', 'muslim_1596']",False,True,"['muslim_765', 'muslim_729', 'muslim_2093', 'muslim_834', 'bukhari_937', 'bukhari_715', 'muslim_1718', 'bukhari_4535', 'bukhari_473', 'bukhari_995']","['bukhari_1655', 'bukhari_937', 'bukhari_1084', 'muslim_2093', 'bukhari_1082', 'bukhari_1657', 'bukhari_1164', 'bukhari_1599', 'bukhari_1089', 'bukhari_715']"
C0214,"নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন, যে ব্যক্তি অন্যদের উপর কর্তৃত্ব প্রতিষ্ঠা করে তাদের অনুমতি ছাড়া, তার উপর আল্লাহ, ফেরেশতা এবং সমস্ত মানুষের অভিশাপ। কিয়ামতের দিন তার কোন ন্যায় বা দান গ্রহণ করা হবে না।","['muslim_3793', 'muslim_3792', 'muslim_3791', 'muslim_3794', 'muslim_3327']",True,False,"['bukhari_6755', 'bukhari_1474', 'bukhari_1475', 'bukhari_3179', 'bukhari_1870', 'bukhari_7300', 'bukhari_1402', 'muslim_3792', 'bukhari_6253', 'bukhari_2442']","['bukhari_6013', 'bukhari_7376', 'bukhari_6625', 'muslim_1010', 'bukhari_6954', 'bukhari_2474', 'muslim_1614', 'bukhari_2672', 'bukhari_6046', 'bukhari_5193']"
C0218,"একজন কালো মহিলা এসে দাবি করেছেন যে, তিনি নবীকে দুধ পান করিয়েছেন। নবী এই কথা শুনে মুখ ফিরিয়ে নিয়ে হাসলেন।","['bukhari_2052', 'bukhari_5104', 'bukhari_2659', 'muslim_6290', 'bukhari_2640']",True,False,"['bukhari_2052', 'muslim_1489', 'bukhari_324', 'bukhari_5608', 'muslim_1484', 'muslim_956', 'bukhari_2272', 'bukhari_4200', 'bukhari_5361', 'muslim_302']","['bukhari_5609', 'bukhari_211', 'bukhari_5606', 'bukhari_2351', 'bukhari_5604', 'bukhari_2366', 'bukhari_7007', 'bukhari_5636', 'bukhari_188', 'bukhari_7032']"
C0224,"রাসূলুল্লাহ (সা.) বলেছেন, একজন মানুষের গঠন তার মায়ের পেটে প্রথম ৪০ দিন ঘটে, এরপর ৪০ দিন আলাকাহ এবং তারপর ৪০ দিন মাংসের টুকরা হিসেবে থাকে। এরপর আল্লাহ একজন ফেরেশতাকে পাঠান, যাকে চারটি বিষয় লিখতে বলা হয়: তার কাজ, রিজিক, আয়ু এবং সে সুখী হবে নাকি দুঃখী। তারপর তাতে রুহ ফুঁক দেওয়া হয়।","['muslim_6723', 'bukhari_3208', 'bukhari_3332', 'bukhari_6594', 'bukhari_7454']",True,False,"['bukhari_3332', 'bukhari_6594', 'bukhari_7454', 'bukhari_3208', 'muslim_1489', 'muslim_2644', 'muslim_2650', 'bukhari_4935', 'bukhari_2429', 'muslim_3726']","['muslim_2644', 'bukhari_3333', 'muslim_2646', 'bukhari_318', 'bukhari_4814', 'bukhari_6595', 'bukhari_4955', 'bukhari_3326', 'muslim_2872', 'bukhari_3870']"
