claim_id,bangla_claim,gold_evidence_ids,top1_evidence_id,top10_evidence_ids
C0015,"প্রিয় মুআয, তুমি কি জানো আল্লাহর বান্দাদের উপর কী অধিকার আছে? মুআয বললেন, আল্লাহ ও তার রাসূলই ভালো জানেন। রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বললেন, আল্লাহর অধিকার হলো, বান্দারা শুধুমাত্র আল্লাহর ইবাদত করবে এবং তার সাথে কাউকে শরিক করবে না। এরপর রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বললেন, যদি তারা এটা করে, তাহলে আল্লাহ তাদের শাস্তি দেবেন না।","['muslim_145', 'muslim_143', 'bukhari_7373', 'muslim_144', 'bukhari_5967']",muslim_764,"['muslim_764', 'bukhari_1740', 'bukhari_3307', 'bukhari_4805', 'bukhari_1199.2', 'bukhari_5522', 'muslim_2132', 'bukhari_1162', 'muslim_2762', 'bukhari_4644']"
C0017,"আমি শুনেছি যে নবী মুহাম্মদ (সা.) একদল আনসার নারীদের সাথে সাক্ষাৎ করেছিলেন যারা তাঁর সাথে অঙ্গীকার করতে চেয়েছিলেন যে তারা আল্লাহর সাথে কাউকে শরিক করবে না, চুরি করবে না, ব্যভিচার করবে না এবং কোনো মিথ্যা অপবাদ দেবে না। নবী (সা.) তাদের বলেছিলেন যে তিনি নারীদের সাথে হাত মেলান না এবং তাঁর কথা একশো নারীর জন্য একই রকম।","['muslim_4463', 'muslim_4464', 'muslim_4834', 'muslim_3728', 'muslim_2403']",bukhari_297,"['bukhari_297', 'muslim_483', 'bukhari_4923', 'muslim_434', 'bukhari_823', 'bukhari_1069', 'muslim_6746', 'muslim_1985', 'bukhari_355', 'bukhari_6989']"
C0018,"আমি শুনেছি, রাসূলুল্লাহ (সা.) তাবুকের যুদ্ধে আমাদের সাথে ছিলেন এবং তিনি বলেছিলেন, ""আমি দ্রুত চলছি, যে কেউ আমার সাথে আসতে চায় সে আসতে পারে, আর যে চাইলে থাকতে পারে।"" তারপর তিনি মদিনার দিকে এগিয়ে গিয়ে বললেন, ""এটি তায়বা এবং এটি উহুদ, এটি একটি পাহাড় যা আমাদের ভালোবাসে এবং আমরা এটি ভালোবাসি।""","['muslim_3371', 'muslim_5948', 'bukhari_4422', 'muslim_5947', 'bukhari_1872']",bukhari_4545,"['bukhari_4545', 'bukhari_5726', 'muslim_483', 'bukhari_7395', 'bukhari_3322', 'bukhari_4029', 'bukhari_2626', 'bukhari_429', 'bukhari_5396', 'bukhari_254']"
C0019,"নবী (সা) বলেছেন যে আল্লাহ আপনাদেরকে আপনার পিতাদের নামে শপথ করতে নিষেধ করেছেন। عمر বলেন, আমি এরপর থেকে আর কখনো পিতার নামে শপথ করিনি।","['muslim_4254', 'bukhari_6647', 'muslim_4255', 'muslim_4257', 'bukhari_6646']",bukhari_3994,"['bukhari_3994', 'muslim_3208', 'muslim_5917', 'muslim_1832', 'muslim_6292', 'muslim_789', 'muslim_3981', 'muslim_3639', 'muslim_2752', 'muslim_913']"
C0022,"আমি দেখেছি যে রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) একটি গাধার উপর নামাজ পড়ছেন, যখন তিনি খায়বারের দিকে যাচ্ছিলেন।","['muslim_1614', 'muslim_1620', 'muslim_4582', 'muslim_5018', 'muslim_3966']",muslim_6746,"['muslim_6746', 'muslim_495', 'bukhari_3322', 'muslim_1985', 'muslim_3671', 'muslim_3862', 'muslim_3811', 'muslim_3876', 'bukhari_284', 'muslim_3834']"
C0024,"নবী মুহাম্মদ (সা.) বলেছেন, যে কেউ অন্যের জমি অবৈধভাবে নেবে, তাকে কিয়ামতের দিন সাতটি জমির মধ্যে বেঁধে রাখা হবে।","['muslim_4136', 'muslim_4133', 'muslim_4132', 'bukhari_3196', 'muslim_4134']",muslim_3265,"['muslim_3265', 'muslim_575', 'muslim_495', 'muslim_3509', 'muslim_4845', 'muslim_5694', 'muslim_3834', 'muslim_3514', 'muslim_3811', 'muslim_2410']"
C0026,"রাসূলুল্লাহ (সা.) বলেছেন, কিয়ামত আসবে না যতক্ষণ না পৃথিবীতে আল্লাহর নাম বলা বন্ধ হয়ে যাবে।","['muslim_375', 'muslim_7410', 'muslim_7257', 'muslim_376', 'muslim_4958']",muslim_4866,"['muslim_4866', 'muslim_6945', 'muslim_3540', 'muslim_1845', 'muslim_6794', 'muslim_7071', 'muslim_6387', 'muslim_1849', 'muslim_6429', 'muslim_6669']"
C0027,"নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন যে, ফল বিক্রি করা উচিত নয় যতক্ষণ না তা পাকা হয়। তিনি আরও বলেছেন যে, ফলের বিক্রয় শুধুমাত্র দিরহাম ও দিনার দিয়ে হতে পারে, তবে কিছু বিশেষ ক্ষেত্রে এটি ভিন্ন হতে পারে।","['bukhari_2189', 'muslim_3908', 'bukhari_2381', 'muslim_3878', 'muslim_3910']",muslim_4290,"['muslim_4290', 'muslim_3645', 'muslim_2043', 'muslim_5922', 'muslim_6521', 'muslim_4866', 'muslim_6772', 'muslim_7130', 'muslim_5248', 'muslim_4597']"
C0029,"আমি শুনেছি যে, নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম নামাজের শুরুতে তাকবীর দেওয়ার সময় হাত উঁচু করে কাঁধের সমান করেন। তিনি রুকুতে যাওয়ার সময়ও একইভাবে হাত উঁচু করেন, কিন্তু সেজদা দেওয়ার সময় এবং সেজদা থেকে মাথা তোলার সময় এটি করেন না।","['bukhari_738', 'muslim_862', 'bukhari_735', 'bukhari_736', 'bukhari_789']",muslim_6746,"['muslim_6746', 'muslim_1985', 'muslim_3876', 'muslim_3822', 'muslim_4406', 'muslim_3862', 'muslim_3834', 'bukhari_297', 'muslim_3811', 'bukhari_643']"
C0030,"হারিস্তা যুদ্ধের দিন আহত হয়েছিল। তার মা নবীজির কাছে এসে বললেন, ""হে রাসূল, আমি জানি হারিস্তার আমার কাছে কত মূল্য। যদি সে জান্নাতে থাকে, তাহলে আমি ধৈর্য ধরব এবং আল্লাহর কাছে সওয়াব আশা করব। কিন্তু যদি অন্য কিছু হয়, তাহলে আমি কী করব?"" নবীজি তাকে বললেন, ""তুমি জানো, জান্নাত একটাই নয়, বরং অনেক জান্নাত আছে, এবং হারিস্তা জান্নাতের সর্বোচ্চ স্তর, ফেরদৌসের মধ্যে রয়েছে।""","['bukhari_3982', 'bukhari_6550', 'bukhari_6567', 'bukhari_6568', 'bukhari_2809']",bukhari_6996,"['bukhari_6996', 'bukhari_6056', 'muslim_495', 'bukhari_6997', 'muslim_434', 'muslim_483', 'bukhari_5984', 'bukhari_717', 'bukhari_5757', 'bukhari_5257']"
C0033,"নবীজি বলেছেন, সব মদই হারাম এবং যে ব্যক্তি এই দুনিয়ায় মদ পান করে এবং মৃত্যুর আগে তা ছাড়ে না, সে আখিরাতে তা পান করবে না।","['muslim_5218', 'muslim_5219', 'muslim_5221', 'muslim_5224', 'muslim_5222']",muslim_495,"['muslim_495', 'bukhari_5257', 'bukhari_6056', 'muslim_6531', 'muslim_3265', 'muslim_2410', 'muslim_208', 'muslim_4845', 'bukhari_284', 'bukhari_3595.2']"
C0034,"আমি শুনেছি যে রাসূলুল্লাহ (সা.) বলেছেন, কুরাইশের নারীরা সেরা নারী যারা উটের পিঠে চড়ে, তারা তাদের সন্তানদের প্রতি সবচেয়ে মমতাময়ী এবং স্বামীদের প্রতি সবচেয়ে যত্নশীল। আবু হুরাইরা (রা.) এ কথা বলেছেন এবং তিনি উল্লেখ করেছেন যে, মেরিম (আ.) কখনো উটের পিঠে চড়েননি।","['muslim_6458', 'bukhari_3434', 'muslim_6456', 'muslim_6460', 'bukhari_5365']",bukhari_4545,"['bukhari_4545', 'muslim_434', 'muslim_483', 'bukhari_3322', 'bukhari_4923', 'muslim_1985', 'muslim_6746', 'bukhari_297', 'bukhari_6989', 'muslim_3671']"
C0038,"কুফার লোকেরা এই আয়াত নিয়ে বিতর্ক করেছিল। আমি ইবন আব্বাসের কাছে গিয়েছিলাম এবং তিনি বললেন, এটি শেষ সময়ে অবতীর্ণ হয়েছে এবং এর কোনো পরিবর্তন হয়নি।","['muslim_7541', 'bukhari_4590', 'muslim_7543', 'muslim_7545', 'bukhari_4766']",muslim_6970,"['muslim_6970', 'muslim_3762', 'muslim_6012', 'muslim_6342', 'bukhari_5084', 'muslim_6292', 'muslim_6794', 'muslim_3478', 'muslim_3357', 'bukhari_487']"
C0040,"নবীজি সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেন, যখন কেউ চারটি শাখার মাঝে বসে এবং চেষ্টা করে, তখন তার জন্য গোসল করা আবশ্যক।","['muslim_783', 'muslim_785', 'bukhari_291', 'muslim_3855', 'muslim_6427']",muslim_6746,"['muslim_6746', 'muslim_3876', 'muslim_4034', 'bukhari_3322', 'muslim_5964', 'muslim_1985', 'muslim_2822', 'muslim_3671', 'muslim_3822', 'muslim_1280']"
C0041,সাঈদ বিন জেইদ বিন আমর বিন নফাইল শুক্রবারের দিন অসুস্থ হয়ে পড়েছিলেন। তিনি জুমার নামাজে অংশগ্রহণ না করে বাড়িতে থাকাই ভালো মনে করেছিলেন।,"['bukhari_3990', 'muslim_4871', 'muslim_1960', 'muslim_4132', 'muslim_2031']",muslim_3731,"['muslim_3731', 'muslim_6970', 'muslim_2043', 'bukhari_2200', 'bukhari_2944', 'muslim_337', 'muslim_1740', 'muslim_4860', 'muslim_5274', 'bukhari_3299']"
C0046,"মরওয়ান ঈদের দিন মঞ্চে উঠে বক্তৃতা শুরু করেছিল, কিন্তু একজন ব্যক্তি তাকে বলেছিল যে সে سنتির বিরুদ্ধে কাজ করেছে। তিনি বলেছিলেন, ""যে কেউ অন্যায় দেখে, তাকে অবশ্যই পরিবর্তন করতে হবে, যদি সে তার হাতে করতে না পারে, তাহলে তার জবান দিয়ে, এবং যদি তাও না পারে, তাহলে অন্তরে তা ঘৃণা করতে হবে; এটি সবচেয়ে দুর্বল ঈমান।""","['muslim_177', 'muslim_2053', 'muslim_2943', 'muslim_3487', 'muslim_1290']",muslim_495,"['muslim_495', 'bukhari_2432', 'bukhari_429', 'bukhari_6996', 'bukhari_3707', 'bukhari_109', 'bukhari_5959', 'muslim_1279', 'muslim_3265', 'muslim_483']"
C0051,"আল্লাহর রাসূল (সা.) বলেছেন, কুরআন পড়ো যেভাবে তোমাদের হৃদয় একত্রিত হয়। যখন তোমাদের মধ্যে ভিন্নতা দেখা দেয়, তখন উঠে দাঁড়াও।","['muslim_6778', 'muslim_6777', 'bukhari_7365', 'bukhari_5060', 'bukhari_7364']",muslim_5917,"['muslim_5917', 'bukhari_5811', 'muslim_2559', 'bukhari_5239', 'bukhari_5087', 'muslim_3208', 'muslim_6926', 'muslim_7187', 'muslim_5268', 'bukhari_7314']"
C0052,"আমি শুনেছি যে, আল্লাহর রাসূল (সা.) কে প্রেরণ করা হয়েছে সাক্ষী, সুসংবাদদাতা এবং সতর্ককারী হিসেবে। তিনি ছিলেন দয়ালু এবং নম্র, এবং তিনি মানুষের প্রতি ক্ষমাশীল ছিলেন।","['bukhari_4838', 'bukhari_2125', 'muslim_7114', 'muslim_1258', 'muslim_4043']",bukhari_6145,"['bukhari_6145', 'muslim_6996', 'muslim_7071', 'muslim_6669', 'bukhari_3994', 'muslim_5118', 'muslim_7307', 'muslim_997', 'muslim_4109', 'muslim_7365']"
C0054,"আমি শুনেছি যে, নবী (সা.) বলেছেন, ""তুমি কি বাচ্চা মেয়ে নিয়ে বিয়ে করনি? তোমার বাবার মৃত্যুর পর তুমি একজন বিধবা নিয়ে বিয়ে করেছ?"" জাবির বললেন, ""আমি বাবার রেখে যাওয়া সাত বা নয়টি মেয়ের কারণে বিধবা নিয়ে বিয়ে করেছি, যাতে তারা ভালোভাবে দেখাশোনা পায়।"" নবী (সা.) তার বিয়ের জন্য তাকে আশীর্বাদ করেছেন।","['muslim_3638', 'bukhari_6387', 'bukhari_5367', 'muslim_3637', 'muslim_4100']",bukhari_7395,"['bukhari_7395', 'bukhari_429', 'bukhari_5984', 'bukhari_3341', 'bukhari_6997', 'bukhari_5726', 'bukhari_6489', 'bukhari_7392', 'bukhari_5458', 'bukhari_5024']"
C0056,"আমরা শুনেছি যে, নবী মুহাম্মদ (সা.) বলেছেন, মৃত ব্যক্তির জন্য কবরের শাস্তি তার পরিবারের কান্নার কারণে নয়, বরং তার নিজের পাপের কারণে হয়। তিনি আরও বলেছেন, যুদ্ধের সময় নিহতদের শাস্তি সম্পর্কে কথা বলার সময়, তারা শুনতে পাচ্ছে এবং জানে যে, তিনি যা বলছেন তা সত্য।","['muslim_2154', 'bukhari_3978', 'bukhari_3979', 'bukhari_3980', 'bukhari_3981']",bukhari_1073,"['bukhari_1073', 'bukhari_5032.2', 'muslim_575', 'bukhari_5406', 'bukhari_5984', 'bukhari_4805', 'bukhari_255', 'bukhari_6056', 'bukhari_6505', 'bukhari_1162']"
C0058,"আমি শুনেছি, রাসূলুল্লাহ (সা.) আবান বিন সাঈদকে একটি মিশনে পাঠিয়েছিলেন এবং যখন আবান ও তার সঙ্গীরা খায়বারে পৌঁছান, তখন রাসূল (সা.) তাদের জন্য কিছু বিতরণ করেননি।","['bukhari_4238', 'muslim_7027', 'muslim_6207', 'muslim_4589', 'muslim_4081']",muslim_495,"['muslim_495', 'muslim_3834', 'muslim_3265', 'muslim_2207', 'bukhari_4545', 'muslim_3811', 'muslim_483', 'muslim_6746', 'bukhari_5257', 'bukhari_3322']"
C0061,"একজন ব্যক্তি ইয়েমেন থেকে নবী মুহাম্মদ (সা.) এর কাছে এসেছিলেন এবং জিজ্ঞেস করেছিলেন, ""আপনার কি ইয়েমেনে কেউ আছে?"" নবী (সা.) বললেন, ""আপনার মা-বাবা আছেন?"" তিনি বললেন, ""হ্যাঁ,"" তখন নবী (সা.) তাকে বললেন, ""তাদের অনুমতি নিয়ে ফিরে যাও। যদি তারা অনুমতি দেন, তবে যুদ্ধ করো, নইলে তাদের সঙ্গে ভালো ব্যবহার করো।""","['muslim_5628', 'muslim_4101', 'muslim_4570', 'muslim_6492', 'muslim_6149']",bukhari_4545,"['bukhari_4545', 'bukhari_5396', 'bukhari_3751', 'bukhari_3230', 'bukhari_3322', 'bukhari_2626', 'bukhari_5726', 'bukhari_6485', 'bukhari_254', 'bukhari_1923']"
C0062,"নবী (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন, আবু তালিবের জন্য আল্লাহর রহমত হয়েছে, তিনি জাহান্নামের আগুনের মধ্যে এক অল্প পানির স্তরে আছেন। যদি আমি না হতাম, তবে তিনি জাহান্নামের সবচেয়ে নিচে থাকতেন।","['muslim_510', 'bukhari_6208', 'bukhari_3883', 'muslim_511', 'bukhari_6572']",bukhari_4805,"['bukhari_4805', 'muslim_2762', 'muslim_764', 'bukhari_158', 'bukhari_1199.2', 'bukhari_241', 'bukhari_3752', 'bukhari_6505', 'bukhari_1162', 'bukhari_1740']"
C0065,"আমি শুনেছি, নবী (সা.) আবদুল্লাহ বিন হুদাফা বিন কিস বিন আদীকে একটি বিশেষ মিশনে পাঠিয়েছিলেন। তিনি আমাদেরকে আল্লাহ ও তাঁর রাসূলের নির্দেশ পালন করতে বলেছেন।","['muslim_4746', 'bukhari_4584', 'muslim_3410', 'muslim_314', 'muslim_7219']",muslim_6970,"['muslim_6970', 'bukhari_6145', 'muslim_3731', 'muslim_471', 'bukhari_3994', 'muslim_2762', 'muslim_7071', 'bukhari_158', 'muslim_3440', 'muslim_3348']"
C0066,নবী মুহাম্মদ (সা.) তাঁর দুই কানকে আঙ্গুলের ডগা দিয়ে মুছে দিয়েছেন এবং থাম্বের সাহায্যে কানগুলোর বাইরের অংশও মুছে দিয়েছেন।,"['muslim_6069', 'muslim_6064', 'muslim_6067', 'muslim_865', 'muslim_866']",muslim_6746,"['muslim_6746', 'muslim_6987', 'muslim_1985', 'muslim_5964', 'bukhari_3322', 'muslim_3834', 'muslim_3876', 'muslim_450', 'muslim_1280', 'muslim_3671']"
C0068,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন যে, তিনি এই বিষয়টি উল্লেখ করেছেন।","['muslim_4648', 'muslim_2548', 'muslim_5701', 'muslim_4324', 'muslim_3210']",muslim_3639,"['muslim_3639', 'muslim_6669', 'muslim_5919', 'muslim_3208', 'muslim_789', 'muslim_4368', 'muslim_2506', 'muslim_1889', 'muslim_6342', 'muslim_3832']"
C0069,"নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন, তিনি যখন সিজদা করতেন, তখন হাত দিয়ে মাটি স্পর্শ করতেন এবং তাঁর বাম হাতের উরুর উপর স্থির হয়ে বসতেন।","['muslim_1108', 'muslim_1106', 'muslim_1109', 'muslim_1311', 'muslim_1307']",muslim_6746,"['muslim_6746', 'muslim_4034', 'muslim_3876', 'muslim_5964', 'bukhari_3322', 'muslim_1985', 'muslim_495', 'muslim_3671', 'muslim_6987', 'muslim_450']"
C0072,"আমি শুনেছি যে, রাসূলুল্লাহ (সা.) আরাফার দিন মাগরিবের নামাজের জন্য একটি নির্দিষ্ট স্থানে রওনা হন এবং সেখানে তিনি নামাজ আদায় করেন। এরপর তিনি রাতের নামাজের জন্য অপেক্ষা করেন এবং সবাইকে নামাজ শেষে মুক্ত হন।","['muslim_3102', 'muslim_3101', 'muslim_3099', 'muslim_3103', 'bukhari_1669']",muslim_3834,"['muslim_3834', 'muslim_6746', 'muslim_1985', 'bukhari_284', 'bukhari_297', 'muslim_483', 'muslim_434', 'bukhari_3322', 'muslim_495', 'muslim_514']"
C0073,"একজন ব্যক্তি রাসূলুল্লাহ (সা.)-এর কাছে এসে বললেন, তিনি খুব ক্লান্ত। রাসূল (সা.) তাঁর স্ত্রীদের কাছে খাবারের জন্য পাঠালেন, কিন্তু সবাই বললেন, তাদের কাছে শুধু পানি আছে। তখন একজন আনসারী বললেন, তিনি অতিথিকে রাতের খাবার দেবেন এবং তাঁর স্ত্রীকে বললেন, শিশুদের খাবার দিয়ে অতিথিকে দেখাতে হবে যেন মনে হয় তারা খাচ্ছে। পরদিন রাসূল (সা.) বললেন, আল্লাহ তাদের এই অতিথিপরায়ণতা দেখে বিস্মিত হয়েছেন।","['muslim_5359', 'bukhari_4889', 'muslim_5362', 'muslim_885', 'muslim_4622']",bukhari_4545,"['bukhari_4545', 'muslim_1985', 'bukhari_3322', 'muslim_4034', 'bukhari_7040', 'muslim_3671', 'muslim_5964', 'muslim_3229', 'bukhari_5680', 'bukhari_5501']"
C0075,"নবী মুহাম্মদ (সা.) রমজান মাসে ফাতহের যুদ্ধ করেছিলেন। তিনি যখন কদিদে পৌঁছালেন, তখন তিনি রোজা ভঙ্গ করেন এবং পুরো মাসটি তিনি রোজা রাখেননি।","['bukhari_4275', 'muslim_2604', 'muslim_2608', 'muslim_6022', 'bukhari_1944']",muslim_1832,"['muslim_1832', 'muslim_5159', 'muslim_3208', 'muslim_5917', 'muslim_3731', 'muslim_3639', 'bukhari_3994', 'muslim_6292', 'muslim_6012', 'muslim_5921']"
C0076,"একজন ব্যক্তি নবী মুহাম্মদ (সা.)-এর কাছে এসে বললেন, ""হে রাসূল, আমি রাতে একটি স্বপ্ন দেখেছি যেখানে মধু ও ঘি ঝরছে।""","['muslim_5929', 'muslim_5928', 'muslim_5930', 'bukhari_7046', 'muslim_5927']",bukhari_5984,"['bukhari_5984', 'bukhari_1073', 'bukhari_6996', 'bukhari_6505', 'bukhari_5032.2', 'bukhari_6056', 'muslim_575', 'muslim_5979', 'bukhari_1162', 'bukhari_7435']"
C0078,নবী মুহাম্মদ (সা.) জামরার দিকে পাথর নিক্ষেপ করার জন্য লাব্বাইক বলেছিলেন।,"['muslim_3089', 'muslim_3090', 'muslim_3141', 'bukhari_1685', 'muslim_3140']",muslim_6970,"['muslim_6970', 'bukhari_1073', 'muslim_3731', 'muslim_471', 'muslim_575', 'bukhari_4473', 'bukhari_241', 'muslim_2762', 'bukhari_3307', 'bukhari_6505']"
C0081,"নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেন, এক ব্যবসায়ী ছিল যে মানুষের কাছে ঋণ দিত। যখন তিনি দেখতেন কেউ অসচ্ছল, তখন তিনি তাঁর সেবকদের বলতেন, তাদের জন্য ক্ষমা করে দাও, হয়তো আল্লাহ আমাদেরও ক্ষমা করবেন।","['bukhari_2078', 'muslim_3998', 'bukhari_3480', 'muslim_3997', 'muslim_4621']",muslim_1148,"['muslim_1148', 'muslim_6996', 'muslim_5118', 'muslim_3357', 'muslim_933', 'muslim_1849', 'muslim_2762', 'muslim_789', 'muslim_6669', 'muslim_4866']"
C0082,"হযরত হুযাইফা (রা) বলেছেন, রাসূলুল্লাহ (সা) বলেছেন যে, আসরের নামাজের পর সূর্যাস্ত হওয়া পর্যন্ত এবং ফজরের নামাজের পর সূর্য উদয়ের আগে নামাজ পড়া নিষেধ।","['muslim_1921', 'muslim_1920', 'muslim_1374', 'bukhari_584', 'bukhari_588']",muslim_6429,"['muslim_6429', 'muslim_4866', 'muslim_1845', 'muslim_1113', 'muslim_6945', 'muslim_6136', 'muslim_3357', 'muslim_5795', 'muslim_7071', 'muslim_3540']"
